StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,Q62_First Click,Q62_Last Click,Q62_Page Submit,Q62_Click Count,va_f_1,va_c_f_1,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,gm_f_1,gm_c_f_1,Q63_First Click,Q63_Last Click,Q63_Page Submit,Q63_Click Count,ab_f_1,ab_c_f_1,Q65_First Click,Q65_Last Click,Q65_Page Submit,Q65_Click Count,pb_f_1,pb_c_f_1,Q64_First Click,Q64_Last Click,Q64_Page Submit,Q64_Click Count,sa_f_1,sa_c_f_1,Q67_First Click,Q67_Last Click,Q67_Page Submit,Q67_Click Count,br_f_1,br_c_f_1,Q66_First Click,Q66_Last Click,Q66_Page Submit,Q66_Click Count,su_f_1,su_c_f_1,Q68_First Click,Q68_Last Click,Q68_Page Submit,Q68_Click Count,su_n_1,su_c_n_1,Q69_First Click,Q69_Last Click,Q69_Page Submit,Q69_Click Count,ab_n_1,ab_c_n_1,Q70_First Click,Q70_Last Click,Q70_Page Submit,Q70_Click Count,va_n_1,va_c_n_1,Q71_First Click,Q71_Last Click,Q71_Page Submit,Q71_Click Count,gm_n_1,gm_c_n_1,Q72_First Click,Q72_Last Click,Q72_Page Submit,Q72_Click Count,sa_n_1,sa_c_n_1,Q73_First Click,Q73_Last Click,Q73_Page Submit,Q73_Click Count,br_n_1,br_c_n_1,Q74_First Click,Q74_Last Click,Q74_Page Submit,Q74_Click Count,pb_n_1,pb_c_n_1,gender,age,religion,education,politics_1,politics_2,Q79,PROLIFIC_PID,STUDY_ID
2021-08-08 14:25:31,2021-08-08 14:28:55,0,92.239.85.65,100,203,1,2021-08-08 14:28:55,R_2YncwkDEHAnBEu5,,,,,56.4806060791015625,-2.9358062744140625,anonymous,EN-GB,1,0.846,12.383,13.437,5,17,100,3.405,5.701,6.138,3,100,100,7.67,9.79,10.908,2,100,0,8.862,14.024,15.106,2,40,51,4.825,6.8,7.686,2,100,100,5.78,8.203,9.601,2,68,69,0.346,12.05,13.409,3,33,68,4.435,6.443,9.864,2,100,100,4.565,6.133,7.388,2,0,100,13.002,13.002,15.012,1,51,51,4.299,6.571,8.338,2,0,100,7.18,9.116,10.226,2,0,100,6.401,14.231,15.008,5,100,100,8.063,9.999,13.372,2,0,100,1,40,1,3,5,5,59614e6887bef300013a4bb1,59614e6887bef300013a4bb1,610fa0817bba062b1fb158c5
2021-08-08 14:29:15,2021-08-08 14:32:19,0,51.7.37.56,100,184,1,2021-08-08 14:32:19,R_3Pc32XeXCgDK2Do,,,,,51.4409027099609375,0.0984954833984375,anonymous,EN-GB,1,3.579,7.36,8.687,3,37,71,3.89,5.571,6.276,2,31,72,5.724,7.472,8.351,2,74,71,7.749,11.266,11.733,3,100,92,6.839,8.826,9.457,2,83,69,4.382,6.113,6.669,2,82,70,7.838,10.986,11.665,2,68,100,7.175,11.688,12.494,4,91,75,2.259,5.177,5.805,2,100,100,4.086,12.024,12.6,5,100,100,3.496,4.902,5.657,2,100,76,5.549,9.254,9.932,3,68,69,3.774,6.523,7.519,3,50,80,6.772,8.423,9.86,2,100,100,2,24,1,4,6,6,60ff171e89c8756b592777bd,60ff171e89c8756b592777bd,610fa0817bba062b1fb158c5
2021-08-08 14:29:47,2021-08-08 14:33:18,0,92.4.150.250,100,211,1,2021-08-08 14:33:19,R_3qOJqatIOm2ttk4,,,,,51.505401611328125,-3.57940673828125,anonymous,EN-GB,1,5.526,7.388,8.363,2,43,51,6.145,7.437,8.859,2,73,51,5.975,7.809,9.841,2,12,31,12.537,12.537,15.013,1,78,67,7.012,9.573,10.647,2,67,65,6.373,9.119,10.118,2,33,67,6.566,8.524,10.023,2,32,51,7.058,8.374,9.967,2,69,68,4.884,9.058,10.542,3,51,51,9.613,11.405,13.116,2,31,59,4.972,6.697,7.931,2,34,66,9.169,10.795,12.764,2,33,51,7.193,9.134,10.011,2,35,70,10.601,11.823,13.555,2,51,51,2,44,1,1,5,5,5f180ffb2103211d36c447b2,5f180ffb2103211d36c447b2,610fa0817bba062b1fb158c5
2021-08-08 14:30:51,2021-08-08 14:34:48,0,82.11.217.116,100,237,1,2021-08-08 14:34:49,R_1CBf3zl69CQNe94,,,,,51.79510498046875,-0.18670654296875,anonymous,EN-GB,1,6.07,8.423,9.234,2,20,88,7.7,9.647,10.572,2,90,86,8.427,14.792,15.11,4,86,0,7.842,11.951,13.082,2,86,63,0.208,10.756,12.394,5,67,30,0.394,8.644,9.957,3,38,38,0.492,14.478,15.109,4,45,32,8.94,14.073,15.113,2,88,80,5.894,8.079,11.146,2,15,77,8.215,11.561,12.756,4,14,81,6.712,11.168,12.23,5,0,77,8.88,12.314,13.437,3,19,71,7.108,9.8,11.531,2,55,32,10.43,10.43,15.008,1,48,60,2,29,1,6,1,2,6107a593d84346246f383a0d,6107a593d84346246f383a0d,610fa2dc06d18e9f8a5da6e9
2021-08-08 14:33:29,2021-08-08 14:37:00,0,84.13.168.235,100,211,1,2021-08-08 14:37:01,R_1hYh4VKGphZ9rNQ,,,,,53.532806396484375,-2.2794036865234375,anonymous,EN-GB,1,4.1,10.279,11.026,3,0,100,2.959,6.531,7.364,3,81,84,5.3,11.281,12.155,3,80,33,10.781,12.797,15.007,2,81,71,12.294,13.535,14.546,2,67,5,7.72,11.983,13.347,2,66,35,8.721,11.256,12.184,3,12,82,6.483,8.432,9.263,2,100,100,7.578,9.533,10.67,2,70,11,5.572,8.048,12.145,2,68,67,0.532,6.167,7.078,3,0,100,8.2,11.539,12.724,3,78,69,6.272,9.143,9.953,2,0,100,8.145,10.536,11.427,2,6,94,1,36,1,3,1,3,6102b9d04b46de930a9cce0a,6102b9d04b46de930a9cce0a,610fa2dc06d18e9f8a5da6e9
2021-08-08 14:33:41,2021-08-08 14:37:35,0,31.53.146.110,100,234,1,2021-08-08 14:37:35,R_2QFAdHEgqsSsVms,,,,,52.048797607421875,-0.3594970703125,anonymous,EN-GB,1,6.722,9.472,10.459,2,39,39,0.342,10.352,11.478,3,68,26,6.351,9.714,11.727,2,34,4,12.832,14.872,15.006,2,76,84,10.342,13.704,15.109,2,47,55,6.583,11.215,12.039,2,17,77,8.663,10.829,11.955,2,42,41,0.262,0.262,0.592,1,,,9.154,11.276,12.481,2,69,69,11.478,13.018,13.574,2,33,74,4.958,8.28,9.028,2,67,57,10.643,13.036,13.893,2,63,42,13.884,14.914,15.108,2,5,,12.61,14.843,15.007,2,0,96,1,20,1,2,1,2,5ece8aec61cfc90a2216bf22,5ece8aec61cfc90a2216bf22,610fa2dc06d18e9f8a5da6e9
2021-08-08 14:39:58,2021-08-08 14:43:33,0,81.109.127.202,100,214,1,2021-08-08 14:43:33,R_2ZK74JiyWRIy7gv,,,,,51.6468048095703125,-1.2509002685546875,anonymous,EN-GB,1,4.494,7.733,8.825,4,3,73,5.029,6.869,8.213,2,34,38,5.664,10.575,12.497,4,29,12,9.9,9.9,12.008,1,,40,7.641,11.84,13.362,4,41,12,0.152,6.712,7.726,3,6,70,4.498,5.682,7.049,2,36,68,7.24,12.318,14.393,2,100,91,4.783,6.776,8.2,2,67,37,5.615,10.487,13.322,5,35,33,5.4,7.398,10.771,2,72,66,11.454,13,14.577,2,37,38,4.572,8.046,9.235,4,32,27,10.318,11.454,15.111,2,49,,2,27,4,5,3,2,59b27b8b2a78fd00010b8403,59b27b8b2a78fd00010b8403,610fa2dc06d18e9f8a5da6e9
2021-08-08 14:42:30,2021-08-08 14:44:45,0,82.39.124.249,100,134,1,2021-08-08 14:44:45,R_21FINUCDycDUrHo,,,,,52.4550018310546875,-1.864105224609375,anonymous,EN-GB,1,3.415,5.013,5.739,2,83,84,2.733,3.887,4.799,2,37,39,3.321,4.76,5.637,2,32,32,8.946,10.373,11.568,2,100,100,9.232,10.399,11.839,2,65,57,2.764,4.306,5.225,2,35,35,2.974,4.466,5.417,2,68,15,4.807,6.183,7.824,2,87,79,1.804,4.868,5.742,3,100,100,3.706,5.325,6.232,2,100,100,4.799,6.881,7.679,2,87,100,5.832,6.989,8.288,2,63,59,3.597,5.139,6.119,2,32,79,8.473,13.687,14.816,4,93,91,1,30,4,4,5,5,5fbe6089a1edab135931deaa,5fbe6089a1edab135931deaa,610fa0817bba062b1fb158c5
2021-08-08 14:32:14,2021-08-08 14:45:33,0,94.193.63.5,100,799,1,2021-08-08 14:45:33,R_2Wwl2C5KxCqY7Yh,,,,,53.3188018798828125,-0.9824066162109375,anonymous,EN-GB,1,7.359,10.389,15.038,3,34,,0.1,10.009,12.89,4,68,69,1.406,9.104,10.943,4,68,67,7.25,13.016,14.288,3,63,96,0.115,14.015,15.142,6,34,74,7.276,11.87,14.011,6,70,68,7.163,13.216,15.028,3,68,71,5.851,13.059,14.973,4,70,69,3.846,12.623,14.902,6,68,70,7.401,14.57,15.009,5,29,31,6.342,13.938,15.018,5,30,68,7.101,12.871,15.032,3,0,97,6.265,13.764,15.121,4,67,69,0.106,14.851,15.137,4,17,,2,49,5,4,1,1,610175135c258d591eb673f8,610175135c258d591eb673f8,610fa2dc06d18e9f8a5da6e9
2021-08-08 14:43:44,2021-08-08 14:47:47,0,82.32.228.108,100,243,1,2021-08-08 14:47:47,R_2Byczxpz8MmuQ6I,,,,,55.894195556640625,-4.0522003173828125,anonymous,EN-GB,1,5.198,6.412,7.062,2,0,100,5.647,6.884,7.455,2,19,75,6.702,10.191,10.896,2,33,52,12.09,14.644,15.008,2,75,73,8.119,9.782,10.555,2,65,64,7.219,9.885,12.763,2,67,93,10.882,12.491,15.01,2,16,77,7.04,9.391,9.939,2,100,100,5.007,9.327,15.011,2,55,73,5.093,6.724,7.195,2,62,85,3.991,8.604,9.342,4,79,81,6.724,11.765,12.652,2,36,30,5.553,11.392,12.391,5,12,70,10.097,11.66,12.399,2,35,59,1,41,5,5,2,5,61015f63f9a351d3171a0f98,61015f63f9a351d3171a0f98,610fa0817bba062b1fb158c5
2021-08-08 14:45:17,2021-08-08 14:48:50,0,82.46.90.192,100,212,1,2021-08-08 14:48:50,R_DenFE47T1beDEw9,,,,,51.46380615234375,0.143402099609375,anonymous,EN-GB,1,5.267,9.451,10.481,3,41,86,3.466,6.428,15.008,2,100,77,5.128,14.31,15.007,5,57,73,8.642,13.659,15.11,3,82,73,8.904,12.17,13.277,4,100,94,3.652,6.88,8.505,2,56,3,3.944,8.398,9.324,3,72,10,3.297,3.297,16.471,1,100,,3.525,5.777,7.197,2,0,100,6.668,9.025,15.006,3,5,58,4.351,6.603,7.682,2,0,100,5.317,13.687,15.203,4,97,,6.087,6.087,7.588,1,,0,5.718,8.76,10.132,2,0,85,2,21,1,2,1,1,5eff26cb359bc645ec530cbb,5eff26cb359bc645ec530cbb,610fa2dc06d18e9f8a5da6e9
