"","PROLIFIC_PID","key","resp","type","order","issue","gender","age","religion","education","politics_1","politics_2","RL","resp2","reflection_resp_O1","reflection_topic","reflection_time","explain","reflection_resp_O2"
"34","5cd439bfa97efc000147d25e","ab_f_1","62","Factual","First-order","Abortion","1","45","2","5","2","4","Left",33,43,"Abortion",58.929,"At what stage does life truly begin, or should it be scared?  Personally I do no believe that untilit is sufficiently developed that a fetus has the right to life.  I believe that it is the mother's choice on whether or not to bring the baby to term, but that after a certain point the baby should be bought to term.",62
"35","5e918309b3f91e4bb747a462","ab_f_1","37","Factual","First-order","Abortion","1","28","1","2","3","3","Left",73,88,"Vaccines",50.079,"Parents should always have the right to decide what's best for their children, even if it seems wrong.",95
"36","60525f1d38bef14ac2af549c","ab_f_1","48","Factual","First-order","Abortion","3","18","1","3","1","2","Left",51,100,"Surrogacy",50.124,"Surrogacy can be a couple's only route to having a child they are biologically related to, and is therefore an important service to many people.",89
"37","5f9f366d30ae1a565a704ccc","ab_f_1","13","Factual","First-order","Abortion","1","28","1","4","2","2","Left",39,39,"Abortion",49.163,"I believe that the fetus does have some right to live. However, so does the mother and I believe the mother's rights outweigh those of the unborn fetus. I am not educated enough on the life stages of a fetus and therefore am severely unequiped to answer this question, but overall I believe the mother has a right to decide this fate for herself, within reason.",22
"38","60471cafee39c41a2b92815f","ab_f_1","11","Factual","First-order","Abortion","2","35","2","5","2","2","Left",4,69,"Surrogacy",47.301,"I chose ""probably legal"" because it is the choice of all parties whether they want to get involved or not. However, there could be some element of pregnant women being exploited when they are alone/vulnerable, etc., so that is why I didn't choose ""definitely legal"".",70
"39","600c9846469bae3b54977f64","ab_f_1","40","Factual","First-order","Abortion","2","29","1","4","1","1","Left",81,85,"Sexual Assistance",112.801,"Disabled people deserve sex as well. Their disability shouldn't be a reason why they dont have sex and the government pay for silly things so it's good that they spend it on something worthwhile especially after the year we've had the social contact would be great for them. If it was a government scheme then the sex workers could be vetted so they don't pass any infections to the disabled clients so its safer all round.",78
"40","5b2bacf57680400001e61a5a","ab_f_1","31","Factual","First-order","Abortion","2","54","1","2","7","7","Right",32,0,"Vaccines",47.894,"I believe whether you do or  dont believe in vaccinating children that is compulsary to do it so that the viruses that they are vaccinating for does not rear their ugly heads, most of the viruses from years ago are basically wiped out and we dont want them coming back",100
"41","5f21d8962a7e0d418f06eff7","ab_f_1","100","Factual","First-order","Abortion","1","19","1","4","2","7","Right",100,79,"Transgender Teen",48.487,"With almost all other medical treatments performed on minors parents have the final say with the exception of only a few. I don't believe this problem should be treated any differently to other standard metal health issues.",31
"42","5fd66e7b65defc571b4ee007","ab_f_1","6","Factual","First-order","Abortion","2","31","2","4","2","2","Left",14,71,"Animals in Research",45.734,"I think it is not a very nice thing to do but it is probably a nessessary evil. I would rarther a mouse died than a family member of something that could have been cured by animal testing.",69
"43","601c34296de5a06e8cf7085f","ab_f_1","68","Factual","First-order","Abortion","1","26","2","4","4","4","Left",34,0,"Animals in Research",47.14,"It's unfair to treat animals as test objects and they deserve good quality of life",100
"44","5fb6feea7970dd1b5dc6446e","ab_f_1","21","Factual","First-order","Abortion","2","64","4","4","2","2","Left",21,89,"Sexual Assistance",53.784,"I see this as any other physical need. Sexuality - and furthermore their expression of it - seems to be a taboo. To me, it is all about having power and control over your own life and if other areas are rightly supported why not this just as important need. I am aware this could be exploited but I see no argument to why we cannot acknowledge and facilitate the sexual needs of this group.",91
"45","5f2af36061a10a452cd8dc4e","ab_f_1","68","Factual","First-order","Abortion","2","23","1","3","1","1","Left",65,9,"GM Crops",56.58,"In all honesty its not something i've came across the negatives of so never thought of it in a bad light. I've not seen much to say to ban them.",30
"46","5f86fb7352cb8507bad3283f","ab_f_1","80","Factual","First-order","Abortion","2","22","1","5","1","1","Left",98,30,"GM Crops",48.29,"I don't know a great deal about the issue but I dont feel like it is an ethical problem",33
"47","5e3a9e0dfbce8a296258c297","ab_f_1","9","Factual","First-order","Abortion","2","39","1","4","3","2","Left",6,100,"Transgender Teen",51.473,"In my opinion, a child shouldn't be able to make such a decision. Whilst feeling desperately sorry for children who believe they are transgender, I don't think they should make such a medical intervention before they're able to understand the consequences. No child is able to give informed consent to future infertility? Or other effects of these drugs. Having said all this, they should definitely have access to help and support and society should learn to be inclusive. But not at the expense of real life-altering drugs being taken by children,",69
"48","5d59b9959d203c0001fac7d7","ab_f_1","2","Factual","First-order","Abortion","2","55","1","4","3","3","Left",0,77,"Transgender Teen",54.607,"If they're minors they are too young to make such a series decisions on their own.",68
"49","5f5f66b2c050a00169ba939c","ab_f_1","33","Factual","First-order","Abortion","2","31","1","5","1","1","Left",33,67,"Animals in Research",61.335,"I find the question difficult to answer and don't feel overly comfortable with my choice but I think I leant on the 'greater good' mindset, and decided that, for now at least, testing should be carried out on animals for biomedical purposes. But the line should be drawn there and not for use in cosmetics etc.",34
"50","5c31fdbafe0b5000012474e5","ab_f_1","51","Factual","First-order","Abortion","3","52","1","2","2","3","Left",51,82,"Surrogacy",62.562,"I believe it should be legal just as long as there is no exploitation, you could never monitor this 100% though. If someone who was poor decided to be a surrogate doesn't mean they are doing it for money but it should be scrutinised more than it would if a middle class person was doing it. Mainly because the poor person could be coerced and the mental trauma may not be visible for years to come.",100
"51","6032e87ecb3b6f33db708dc0","ab_f_1","42","Factual","First-order","Abortion","2","20","1","3","4","6","Right",38,33,"Sexual Assistance",47.401,"i don't think a very personal aspect of people's lives should be subject to government assistance/intervention",67
"52","5ea03a3b7f57130564707c64","ab_f_1","24","Factual","First-order","Abortion","2","27","2","4","2","2","Left",15,20,"Animals in Research",46.125,"I feel uneasy about animal testing and think it should be avoided if possible, animals feel pain too and we should find other ways of doing this.",77
"53","5d5a87938e8d88001acd4f89","ab_f_1","74","Factual","First-order","Abortion","2","35","1","5","2","4","Left",84,39,"Transgender Teen",87.586,"I don't know enough about this issue to be fully confident and I think it is very much dependent on situation, such as age of the child and whether or not the decision could be reversed. However, I have witnessed this situation more than once from the perspective of the young person who very much knew their own mind and was distressed by the decisions adults were making on their behalf. I think we must trust young people more to know what is right for them but must support them in this to fully understand the physical, psychological and future implications of the decisions they make.",17
"54","5e3f1cda8d0aee000a587dbf","ab_f_1","18","Factual","First-order","Abortion","2","29","4","4","2","3","Left",12,66,"Vaccines",60.071,"It depends what the parents concerns are and are they educated concerns or caused by a media hype? Are they informed choices? Have they outweighed the benefits and the risk of having a vaccine, and have they had opportunity to discuss with a medical professional. Is the child of an age where they can include their own opinion?",20
"55","605780dbc19e21b7b72c8104","ab_f_1","72","Factual","First-order","Abortion","1","27","1","5","3","3","Left",65,34,"Sexual Assistance",49.962,"My immediate view is that many people find it hard to meet their sexual needs due to their attributes, e.g. how attractive they are, yet no one would suggest they have subsidation to meet their needs. I don't see why it would be different for people with a different attribute, i.e. a disability.",23
"56","5e683c2b308ecf0f78089f20","ab_f_1","76","Factual","First-order","Abortion","2","33","1","5","1","1","Left",86,85,"Sexual Assistance",46.81,"Disabled people have just as much of a right to experience sexual pleasure as non-disabled people. It's essentially a human rights issue. Governments could easily subsiside costs.",100
"57","5ef08aa7177a735c78ffbf40","ab_f_1","24","Factual","First-order","Abortion","1","19","2","3","3","4","Left",14,33,"Sexual Assistance",47.152,"I believe the government has more important issues to spend money towards.",21
"58","6048dedbc337a7568e7f7656","ab_f_1","47","Factual","First-order","Abortion","2","18","5","2","1","2","Left",44,100,"Surrogacy",49.67,"It should be legal because it provides an option for mothers and straight or homosexual couple who cannot carry children to become parents. Furthermore, if it is legal, this means that surrogacy can be regulated to ensure that no coercion or bad reasons for wanting a child will happen.",100
"59","600711ed62ad4f15c5a7120b","ab_f_1","86","Factual","First-order","Abortion","1","20","5","3","2","3","Left",100,60,"Sexual Assistance",88.254,"I think that it can be good for disabled people to have their sexual needs met, however, it's not a huge priority compared to other issues that we are having to face. Disabled people can meet their sexual needs without additional support.",68
"60","5eecad1fa2ee68036410a917","ab_f_1","12","Factual","First-order","Abortion","2","21","1","4","4","4","Left",64,0,"Animals in Research",47.154,"I do not agree with animal testing in any way, shape or form. It is cruel and there should be technology that should find much better ways to test.",100
"61","5ed75e8c2206cb011eea12b0","ab_f_1","15","Factual","First-order","Abortion","2","71","4","3","6","6","Right",0,56,"Surrogacy",56.575,"IF ALL PARTIES ARE AGREEABLE THEN THERE SHOULD BE NO BASIC REASON WHY A SURROGACY SHOULD GO AHEAD. IF A WOMAN IS PREPARED TO BEAR A CHILD FOR A COUPLE WHO CANNOT HAVE ONE, THEN SHE WOULD KNOW THE BABY WAS GOING TO A COUPLE WHO REALLY WANTED A BABY AND WOULD GO TO ANY LENGTH TO GET ONE.",39
"62","570d45dc42a1db000ec4d1ce","ab_f_1","95","Factual","First-order","Abortion","2","35","1","4","2","2","Left",51,87,"Surrogacy",81.047,"I see no problem with it being legal as long as everyone is going into it with the same agreements in mind, as long as everybody is comfortable with the arrangement and the agreements made then I don't see why it shouldn't be allowed.",100
"63","5c8ce2f39d2bff0001b3fcea","ab_f_1","67","Factual","First-order","Abortion","2","61","4","2","4","4","Right",32,51,"Sexual Assistance",55.145,"i feel it is up to the individual and assistance by the doctors if necessary",61
"64","5c65f80affc8240001bf6b8a","ab_f_1","15","Factual","First-order","Abortion","2","22","4","4","2","3","Left",32,15,"Transgender Teen",51.606,"I think it should be the minors decision but they should be fully supported to understand the impact of their decisions so they can make the best decision for their life.",31
"65","5ea9423a615c1501abef79bd","ab_f_1","68","Factual","First-order","Abortion","2","47","4","4","3","3","Left",34,30,"Vaccines",108.773,"I think people have a moral obligation to protect their children and the vulnerable population from diseases",88
"66","5c91942b707ed90011858f48","ab_f_1","24","Factual","First-order","Abortion","1","32","1","4","4","4","Right",26,99,"Surrogacy",47,"if two partys can agree to a deal I do not see anything wrong, One party gets to finally have a child which could be a huge deal in their life and the other gets paid to help out this couple.  I understand people can get attached to the baby but you have plenty more chances to get pregnant again and hopefully they are more economically stable than before.",68
"67","5d7e534c16b0a00017c367d1","ab_f_1","100","Factual","First-order","Abortion","2","31","5","4","5","5","Right",32,0,"Vaccines",47.636,"I think that some parents do not have a good argument for not getting their children vaccinated. Vaccination is for the benefit of society.",71
"68","5fbd7423906ec414e7fa36a7","ab_f_1","37","Factual","First-order","Abortion","2","23","1","4","4","4","Right",50,94,"Vaccines",46.738,"If parents believe vaccines are dangerous for their children’s well being then they are within their right to deny the vaccine, it is not a legal requirement. However they must consider the consequences of what could happen if they don’t get vaccinated.",79
"69","5cadb49e19bbcd0001c74a74","ab_f_1","39","Factual","First-order","Abortion","2","29","1","2","5","5","Right",38,89,"Sexual Assistance",93.085,"I think it all depends on the impact that having an affected sex live has on the persons mental health. If it is causing them anxiety, depression or even just making them cut off human contact then it is absolutely vital that they be provided help. This help should most certainly provided by the government in most cases if it is to help a person's mental health, however being such a personal issue people should ofcourse also be able to pay privately for this help if they so wish.",68
"70","6019d55de774df1acdfefc6a","ab_f_1","33","Factual","First-order","Abortion","2","57","1","4","5","7","Right",77,14,"GM Crops",46.492,"Genetically modified crops have a bad reputation, but as I understand it, they allow for crops to grow that are, for example less vulnerable to disease and more robust. That means less pesticides are needed and surely that is a good outcome. I think we need to think holistically about these things.",70
"71","5f946b72d654c628ea868716","ab_f_1","72","Factual","First-order","Abortion","1","20","1","3","1","3","Left",70,100,"Surrogacy",74.377,"I think being surrogate mother should be legal, as it is woman's choice what to do with her body, and if she wants to use it to make money its up to her. By doing this she may even help other people in the process, who due to various reasons can't have children naturally.",100
"72","5b1fee8319bd200001bcb6aa","ab_f_1","31","Factual","First-order","Abortion","1","44","1","4","1","1","Left",67,66,"Animals in Research",46.316,"i hate testing on animals but the flip side is not having medicines tested or tested on humans.  it would be better if there were a computer model system to test on",51
"73","5ec2683e7bf5d7035f84ddf8","ab_f_1","64","Factual","First-order","Abortion","2","75","2","2","3","4","Left",68,64,"Transgender Teen",46.374,"Minors need help & can change as they get older",34
"74","5fb3cd181ca11d000bcab81f","ab_f_1","65","Factual","First-order","Abortion","3","19","2","2","2","2","Left",32,17,"Vaccines",46.745,"When it comes to medicine and specifically vaccine, there has been an extensive amount of research done on it. A child can't choose to take the vaccine as they're not of age, and for the most part, parent's reasons for not giving their child the vaccine is because the risks that they're worried about is blown out of proportion. So, the parents technically are affecting the health of their child - most vaccine provided now are for  diseases not as prevalent now and there is herd immunity as most parents allow their child in the uk to get their vaccines but I still think it's not right, especially if the child wants to. And if the child has done their own research on the vaccine, then it's only fair I think for them to receive the vaccine.",68
"75","5ea2bdc24085721e0a3d8a56","ab_f_1","25","Factual","First-order","Abortion","2","55","1","2","6","7","Right",50,66,"Abortion",46.341,"I think it depends on at what point it can feel pain ?",87
"76","5cbed25eb98a8e0017f8ed1a","ab_f_1","50","Factual","First-order","Abortion","1","51","2","2","2","3","Left",69,50,"Abortion",55.892,"This is a difficult one. Technically the foetus is a living being but hasn´t started it´s life in the environment. You can also argue the foetus is a part of the mother and doesn´t become a living being in its own right until it is separate at birth. I am 50/50 on the argument.",58
"77","5eb19cf49736730c7710b0bf","ab_f_1","76","Factual","First-order","Abortion","1","41","1","4","3","2","Left",66,35,"Vaccines",64.244,"It's a tough one to call and I think there are several factors that could affect my position. What is the vaccine for, it's safety, effectiveness, etc. Why is the parent opposed to the vaccination, (religous reasons? Medical reasons? Due to some nonsense her friend posted on Facebook?). Is the child old/mature enough to make their own decision. Ultimately the best decision for the child should be made which leads to the further question of if the choice of the parent is not in the best interest of the child then who makes that decsion and on what basis?",44
"78","5601947da66d10000bd5c1c3","ab_f_1","52","Factual","First-order","Abortion","2","61","1","2","2","2","Left",8,44,"Sexual Assistance",46.51,"It sounds a bit sleezy. Hiring an escort/prostitute for someone's needs if they are disabled. At the end of the day it would have to be a prostitute wouldn't it? Who else would give this service.",1
"79","60357b05f7b4d03cd981d914","ab_f_1","18","Factual","First-order","Abortion","2","29","5","6","2","3","Left",25,42,"Transgender Teen",53.003,"Can see points of view on both sides, but ultimately don't think it is right for the parents to have the final say over the child's body, given the major impact it will have on their future life. Although this does depend on the child's age and understanding - e.g Gillick competence. I haven't considered it in enough depth to be 100% committed to one viewpoint, but my gut reaction is that the minor has the final say",20
"80","5fa8666e05b82e6e5453b6af","ab_f_1","69","Factual","First-order","Abortion","1","31","1","4","2","3","Left",59,67,"Vaccines",52.895,"It's accepted that citizens have free will/freedom of choice, so it seems unethical to make it mandatory for the child to have a vaccine against parent's wishes.    However, it partly undermines the vaccine programme when unvaccinated children are in contact with others through normal life situations.  Education about the vaccines and trying to reach an understanding of why the parent does not want their child vaccinated seems to be the balanced approach.",58
"81","6037919c2b5de32d6ebaee90","ab_f_1","100","Factual","First-order","Abortion","2","20","2","4","3","5","Right",100,100,"Surrogacy",51.158,"As long as all parties are giving consent I see no reason why surrogates should be illegal.",85
"82","5f569fccba207c0fe4789cf8","ab_f_1","94","Factual","First-order","Abortion","2","20","1","3","2","3","Left",82,67,"Sexual Assistance",94.632,"Everyone has the right to a fulfilled sex life, and if people with disabilities feel they need help in achieving that by use of some form of sex workers then that should be understood by the government and they should give some form of help in them achieving that.",70
"83","5f639c21192b540a86e6e559","ab_f_1","24","Factual","First-order","Abortion","2","36","1","2","4","4","Left",31,0,"GM Crops",47.508,"The reason why is it is more eco friendly and means less animal cruelty.",100
"84","59d81de7ece378000107f2ed","ab_f_1","63","Factual","First-order","Abortion","2","26","1","4","2","2","Left",63,82,"Surrogacy",48.494,"I believe that if a woman wishes to bear s child for another person/s in exchange for payment or otherwise then they should legally be able to make that decision regarding their own body.",82
"85","605f06b58ee1ab0701e096b6","ab_f_1","77","Factual","First-order","Abortion","3","19","2","3","1","1","Left",73,0,"Vaccines",50.777,"not vaccinating your kids is selfish and could kill them and others. Many immunocompromised or people who are allergic who cannot have the vaccine could die because of the loss of herd immunity if the antivax movement keeps growing.",69
"86","5e58b75cc713f80bf5605d34","ab_f_1","11","Factual","First-order","Abortion","2","48","1","3","1","1","Left",22,54,"Abortion",63.024,"A human fetus is a living thing and living things should be respected but that doesn't take away from the fact that it is sometimes necessary to terminate that life for the sake of the mother.",36
"87","5d87aa1f1af55f00010adb4b","ab_f_1","31","Factual","First-order","Abortion","1","56","1","2","1","2","Left",35,90,"Transgender Teen",63.753,"I believe that it is the responsibility of the parent to look after a child until the child is old enough to make a properly considered decision. During puberty a child has a mix of emotions and I don't believe they should be able to make such a huge decision. Once they have matured they can make what ever decisions they want.",67
"88","5f25ae44546c5a26eabe8a14","ab_f_1","0","Factual","First-order","Abortion","2","25","6","5","1","1","Left",0,14,"Animals in Research",65.317,"It just seems really inhumane and mean to hurt other beings just for our sake. It is not completely unacceptable though as I  can try to understand why it is necessary. However, in the times we live in, I believe there is some way of testing without hurting other animals.",70
"89","5a3509e4c572530001a68adc","ab_f_1","68","Factual","First-order","Abortion","2","59","4","4","2","1","Left",68,67,"Vaccines",82.008,"I believe that people have right to do so. I see erosion after erosion of our human and civil rights go undefended yearly. I also grew up in the sixties and many of my peers in school had thalidomide, and varying degrees of disability, thanks to a vaccine that told women it was good for them and they needed it.",66
"90","5cf6ad46041d260015e5d794","ab_f_1","24","Factual","First-order","Abortion","1","27","2","4","5","6","Right",32,66,"Sexual Assistance",67.492,"Everyone deserves to achieve sexual gratification. However, I am not sure that that should be state funded? Although every other part of health care is, so why not this too? I am not sure that is is a vital part of living, hence my low confidence.",15
"91","5f0870cb05b21706af31487b","ab_f_1","90","Factual","First-order","Abortion","1","21","2","4","1","4","Left",68,36,"Abortion",59.18,"A human fetus has no way in which to express itself or its feelings, while it is still a living being, it does not exist in the same way humans who have been born do. We do not see seeds in the same way we see plants for example. There are also already restrictions in place at a point in a pregnancy when it is deemed the fetus does have a right to live, the point at which abortions are no longer allowed. Moreover, in cases where the continuation of a pregnancy would impact the mother, physically or mentally, it is her decision to make, and in all likelihood she (a human who also has the right to live and has done so for however many years) is far more entitled to make that decision than the unborn, unconscious, undeveloped fetus surviving off of her body.",33
